"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","With VIEW_VULNERABILITY Permission The User Can See Management Buttons For Projects","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY","playwright-tests/features/@permissions/view-vulnerabiliy.feature.spec.js","",""
"","0","Without VIEW_POLICY_VIOLATION Permission The User Cannot See The Policy Violations On Project Page","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","0","The Admin User Deletes A Custom Component Inside A Test Project","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","Create Custom Component","playwright-tests/features/@projects/create_custom_component.feature.spec.js","",""
"","0","Without VIEW_VULNERABILITY Permission The User Cannot See Management Buttons For Projects","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY","playwright-tests/features/@permissions/view-vulnerabiliy.feature.spec.js","",""
"","8954","Delete All Test Projects Before Tests","setup_provisioning","Fri Dec 12 00:20:47 UTC 2025","passed","Fri Dec 12 00:20:56 UTC 2025","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","0","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","Suppress Violation Against Policy","playwright-tests/features/@projects/suppress_violation_against_policy.feature.spec.js","",""
"","0","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","Try Creating Existing Project","playwright-tests/features/@projects/try_creating_existing_project.feature.spec.js","",""
"","42449","Create Test Project With Default BOM","setup_provisioning","Fri Dec 12 00:21:59 UTC 2025","passed","Fri Dec 12 00:22:41 UTC 2025","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","0","The Admin User Verifies Vex Application Inside A Test Project","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","Create Custom Component","playwright-tests/features/@projects/apply_vex_to_project.feature.spec.js","",""
"","41257","Create Test Users","setup_provisioning","Fri Dec 12 00:20:56 UTC 2025","passed","Fri Dec 12 00:21:37 UTC 2025","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","0","With VIEW_PORTFOLIO Permissions The User Tries To Log In With Wrong Credentials","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO","playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","7817","Create Test Vulnerability","setup_provisioning","Fri Dec 12 00:21:51 UTC 2025","passed","Fri Dec 12 00:21:59 UTC 2025","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","0","With SYSTEM_CONFIGURATION Permission The User Can See Administration Tab","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","0","With VULNERABILITY_MANAGEMENT Permission The User Can See The Vulnerability Create Button","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","0","With VIEW_PORTFOLIO Permission The User Verifies Access","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO","playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","1","Without SYSTEM_CONFIGURATION Permission The User Cannot See Administration Tab","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","0","With SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT Permission The User Can See Administration Tab","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","0","With VIEW_VULNERABILITY But Without VULNERABILITY_ANALYSIS Permission The User ...","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x VIEW_VULNERABILITY x VULNERABILITY_ANALYSIS","playwright-tests/features/@permissions/view-vulnerability_x_vulnerability-analysis.feature.spec.js","",""
"","0","With VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS Permission The User Can See Audit View On Policy Violations Project Page And Can Audit Them","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS","playwright-tests/features/@permissions/view-policy-violation_x_policy-violation-analysis.feature.spec.js","",""
"","20537","Provide Test Users With Respective Permissions","setup_provisioning","Fri Dec 12 00:22:41 UTC 2025","failed","Fri Dec 12 00:23:02 UTC 2025","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","1","With PORTFOLIO_MANAGEMENT Permission The User Can See Management Buttons For Projects","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x PORTFOLIO_MANAGEMENT","playwright-tests/features/@permissions/portfolio-management.feature.spec.js","",""
"","5304","Delete All Test Users Before Tests","setup_provisioning","Fri Dec 12 00:20:33 UTC 2025","passed","Fri Dec 12 00:20:38 UTC 2025","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","13935","Create Test Policies","setup_provisioning","Fri Dec 12 00:21:37 UTC 2025","passed","Fri Dec 12 00:21:51 UTC 2025","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","4228","Store Admin Authentication","setup_admin_authentication","Fri Dec 12 00:20:28 UTC 2025","passed","Fri Dec 12 00:20:32 UTC 2025","","../../setup/auth-setup.ts","",""
"","0","With SYSTEM_CONFIGURATION But Without ACCESS_MANAGEMENT Permission The User Cannot See Access Management Menu","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","0","The Admin User Deletes Respective Projects","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","Create Parent Project","playwright-tests/features/@projects/create_parent_project.feature.spec.js","",""
"","0","The Admin User Sets A Test Project To Inactive","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","Make Project Inactive","playwright-tests/features/@projects/make_project_inactive.feature.spec.js","",""
"","0","Without VIEW_PORTFOLIO Permission The User Cannot Log In","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO","playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","0","With VIEW_POLICY_VIOLATION But Without POLICY_VIOLATION_ANALYSIS Permission The User Can See Audit View On Policy Violations Project Page But Cannot Audit Them","chromium_test_workflow","Fri Dec 12 00:23:03 UTC 2025","skipped","Fri Dec 12 00:23:03 UTC 2025","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS","playwright-tests/features/@permissions/view-policy-violation_x_policy-violation-analysis.feature.spec.js","",""
"","4438","Delete All Test Policies Before Tests","setup_provisioning","Fri Dec 12 00:20:38 UTC 2025","passed","Fri Dec 12 00:20:43 UTC 2025","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
